Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
99.86.241.127;192.168.10.160;443;58563;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;23.20.165.22;58564;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;trk.pinterest.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;23.20.165.22;58566;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;trk.pinterest.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;23.20.165.22;58565;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;trk.pinterest.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;23.20.165.22;58567;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;trk.pinterest.com;0x0000001d,0x00000017,0x00000018;0
23.20.165.22;192.168.10.160;443;58564;2;0x00000303;49199;23,65281,11,35,16;;;0
23.20.165.22;192.168.10.160;443;58566;2;0x00000303;49199;23,65281,11,35,16;;;0
23.20.165.22;192.168.10.160;443;58565;2;0x00000303;49199;23,65281,11,35,16;;;0
23.20.165.22;192.168.10.160;443;58567;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;104.18.14.176;58568;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;i.pinimg.com;0x0000001d,0x00000017,0x00000018;0
104.18.14.176;192.168.10.160;443;58568;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
192.168.10.160;99.86.241.59;58569;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;cdn.branch.io;0x0000001d,0x00000017,0x00000018;0
99.86.241.59;192.168.10.160;443;58569;2;0x00000303;49199;0,11,65281,5,35;;;0
192.168.10.160;172.217.23.234;58570;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,16,5,13,51,45,43,21;clientauthconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;99.86.241.22;58571;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;conversions.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.234;192.168.10.160;443;58570;2;0x00000303;4865;51,43;;;
99.86.241.22;192.168.10.160;443;58571;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;99.86.241.22;58572;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;register.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;99.86.241.17;58573;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;gcdsdk.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
99.86.241.22;192.168.10.160;443;58572;2;0x00000303;49199;0,11,65281,16,5,35;;;0
99.86.241.17;192.168.10.160;443;58573;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;172.217.23.202;58575;443;1;0x00000303;49196,49195,49200,49199;0,23,65281,10,11,35,16,5,13,21;infinitedata-pa.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;192.168.10.160;443;58575;2;0x00000303;49195;23,65281,11,16;;;0
192.168.10.160;99.86.241.48;58577;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;launches.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
99.86.241.48;192.168.10.160;443;58577;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;172.217.23.227;58579;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13;www.recaptcha.net;0x0000001d,0x00000017,0x00000018;0
172.217.23.227;192.168.10.160;443;58579;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;52.114.88.28;58581;443;1;0x00000303;49196,49195,49200,49199,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,23,65281;self.events.data.microsoft.com;0x0000001d,0x00000017,0x00000018;0
52.114.88.28;192.168.10.160;443;58581;2,11,22,12,14;0x00000303;49200;5,23,65281;;;
192.168.10.160;172.217.23.234;58587;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,16,5,13,51,45,43,21;clientauthconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.234;192.168.10.160;443;58587;2;0x00000303;4865;51,43;;;
192.168.10.160;35.190.88.7;58592;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;sessions.bugsnag.com;0x0000001d,0x00000017,0x00000018;0
35.190.88.7;192.168.10.160;443;58592;2;0x00000303;49199;23,65281,11,35,16;;;0
