Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;172.217.23.214;58249;443;1;0x00000303;43690,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,65281,0,23,35,13,5,18,16,11,10,64250;i.ytimg.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.193;58250;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,65281,0,23,35,13,5,18,16,11,10,31354;yt3.ggpht.com;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
172.217.23.214;192.168.10.160;443;58249;2;0x00000303;49199;23,65281,11,35,16;;;0
172.217.23.193;192.168.10.160;443;58250;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;52.114.88.28;58253;443;1;0x00000303;49196,49195,49200,49199,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,23,65281;self.events.data.microsoft.com;0x0000001d,0x00000017,0x00000018;0
52.114.88.28;192.168.10.160;443;58253;2,11,22,12,14;0x00000303;49200;5,23,65281;;;
192.168.10.160;77.75.79.33;58255;443;1;0x00000303;60138,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,65281,0,23,35,13,5,18,16,11,10,2570,21;c.imedia.cz;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
77.75.79.33;192.168.10.160;443;58255;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;77.75.76.60;58256;443;1;0x00000303;2570,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,65281,0,23,35,13,5,18,16,11,10,23130,21;c.seznam.cz;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
77.75.76.60;192.168.10.160;443;58256;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;52.28.229.114;58257;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.zonky.cz;0x0000001d,0x00000017,0x00000018;0
52.28.229.114;192.168.10.160;443;58257;2;0x00000303;49200;65281,0,11,5,16,23;;;0,1,2
192.168.10.160;172.217.23.228;58258;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.google.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.228;192.168.10.160;443;58258;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;142.250.27.188;58260;5228;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,5,13,51,45,43,21;mtalk.google.com;0x0000001d,0x00000017,0x00000018;0
142.250.27.188;192.168.10.160;5228;58260;2;0x00000303;4865;51,43;;;
192.168.10.160;13.64.117.133;58266;443;1;0x00000303;49196,49200,159,49195,49199,158,49188,49192,107,49187,49191,103,49162,49172,57,49161,49171,51,157,156,61,60,53,47,255;0,11,10,35,23,13;edf.eset.com;0x0000001d,0x00000017,0x0000001e,0x00000019,0x00000018;0,1,2
13.64.117.133;192.168.10.160;443;58266;2;0x00000303;49199;65281,0,11,35,23;;;0,1,2
