Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
151.101.113.208;192.168.10.160;443;58609;2;0x00000303;49199;65281,0,11,35,5,16,23;;;0,1,2
192.168.10.160;13.64.117.133;58608;443;1;0x00000303;49196,49200,159,49195,49199,158,49188,49192,107,49187,49191,103,49162,49172,57,49161,49171,51,157,156,61,60,53,47,255;0,11,10,35,23,13;edf.eset.com;0x0000001d,0x00000017,0x0000001e,0x00000019,0x00000018;0,1,2
151.101.113.208;192.168.10.160;443;58611;2;0x00000303;49199;65281,0,11,35,5,16,23;;;0,1,2
172.217.23.195;192.168.10.160;443;58610;2;0x00000303;4865;51,43;;;
192.168.10.160;216.58.201.78;58612;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,51,45,43,21;android.clients.google.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58612;2;0x00000303;4865;51,43;;;
13.64.117.133;192.168.10.160;443;58608;2;0x00000303;49199;65281,0,11,35,23;;;0,1,2
192.168.10.160;172.217.23.206;58613;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.google-analytics.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.206;192.168.10.160;443;58613;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;69.171.250.15;58614;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58614;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
